Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-07-18 18:31:58,True,Hangzhou Running,6.17,393,00:27:01,159,175,3.2,170,178,4:23,3:51,27,24,1.34,7.5,10.0,243,4:19,367,0.0,363,481,"4,614",No,00:00:54.5,7,00:26:56,00:35:41,3,12
Running,2024-07-17 19:49:15,True,Hangzhou Running,10.01,667,00:46:31,160,178,3.8,168,174,4:39,4:01,33,34,1.29,7.8,10.1,253,4:37,346,0.0,342,466,"7,806",No,00:00:01.5,11,00:46:28,00:46:31,7,16
Running,2024-05-13 18:53:28,True,Hangzhou Running,10.01,620,00:45:03,142,155,3.2,170,177,4:30,4:10,17,16,1.3,7.6,9.9,247,4:30,348,0.0,347,401,"7,654",No,00:00:01.6,11,00:44:55,00:48:27,2,7
Running,2024-05-12 18:30:18,True,Hangzhou Running,10.01,664,00:43:43,157,170,3.7,171,176,4:22,3:50,41,50,1.34,7.5,10.0,244,4:21,367,0.0,363,509,"7,438",No,00:00:01.6,11,00:43:40,00:43:51,-3,9
Running,2024-05-10 15:06:12,True,Hangzhou Running,10.01,662,00:42:00,163,179,4.0,174,187,4:12,3:49,48,44,1.37,7.2,9.9,236,4:10,381,0.0,377,538,"7,278",No,00:00:01.4,11,00:41:52,00:42:00,5,15
Running,2024-05-09 12:48:20,True,Hangzhou Running,10.01,672,00:44:03,158,171,3.7,172,181,4:24,3:58,56,55,1.32,7.4,9.8,242,4:22,364,0.0,358,478,"7,594",No,00:00:01.9,11,00:44:01,00:44:03,4,15
Running,2024-05-07 18:09:32,True,Hangzhou Running,10.01,650,00:45:29,147,160,3.2,169,183,4:33,4:00,17,23,1.31,7.6,9.9,247,4:31,347,0.0,345,422,"7,722",No,00:00:02.0,11,00:45:04,01:08:14,3,13
Running,2024-05-06 19:26:12,True,Hangzhou Running,10.01,643,00:44:56,149,163,3.4,169,178,4:29,4:05,13,16,1.31,7.6,10.0,247,4:29,349,0.0,348,409,"7,612",No,00:00:01.4,11,00:44:39,00:47:24,4,8
Running,2024-05-05 19:11:18,True,Hangzhou Running,4.56,317,00:21:56,153,172,2.8,168,174,4:49,4:21,16,19,1.25,8.0,9.9,256,4:44,338,0.0,331,483,"3,682",No,00:02:52.8,5,00:21:53,00:21:56,3,12
Running,2024-05-04 19:40:37,True,Hangzhou Running,10.01,669,00:47:16,151,167,3.3,169,176,4:43,4:01,49,50,1.26,7.9,9.9,253,4:41,340,0.0,337,455,"7,974",No,00:00:01.6,11,00:47:13,00:52:30,5,17
