Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,10/30/2024 11:15,TRUE,Running,15,947,1:02:25,157,185,4.2,176,187,4:10,3:03,28,17,1.38,7,9.6,231,4:06,381,0,378,523,"10,972",No,04:00.2,15,1:02:18,1:17:04,12,36
Running,10/28/2024 15:39,TRUE,Hangzhou Running,9.45,652,0:44:06,152,171,3.8,176,186,4:40,2:22,36,43,1.35,7.1,9.5,233,4:11,384,0,377,673,"7,754",No,01:30.9,10,0:44:01,0:44:06,8,34
Running,10/27/2024 14:47,TRUE,Hangzhou Running,15.01,993,1:06:54,156,172,4.1,174,186,4:27,2:36,40,26,1.31,7.3,9.6,238,4:21,361,0,358,582,"11,668",No,00:01.3,16,1:06:36,1:33:07,26,48
Running,10/25/2024 11:07,TRUE,Hangzhou Running,15,962,1:05:08,154,173,4,176,190,4:20,2:51,32,30,1.32,7.2,9.4,234,4:15,369,0,364,513,"11,482",No,00:00.9,16,1:05:03,1:18:13,16,42
Running,10/23/2024 11:39,TRUE,Hangzhou Running,15.01,990,1:06:56,154,176,4.1,176,189,4:28,3:18,35,22,1.29,7.3,9.4,237,4:22,358,0,356,517,"11,780",No,00:01.4,16,1:06:49,1:23:51,14,40
Running,10/21/2024 18:34,TRUE,Hangzhou Running,10.01,637,0:47:25,141,152,3.2,173,181,4:44,3:17,21,24,1.28,7.5,9.6,244,4:30,349,0,347,522,"8,198",No,00:01.7,11,0:47:22,0:47:25,9,31
Running,10/19/2024 17:44,TRUE,Hangzhou Running,9.58,614,0:44:59,142,162,3.2,174,184,4:42,3:02,46,48,1.29,7.4,9.5,240,4:26,358,0,353,570,"7,824",No,03:22.3,10,0:44:51,0:53:29,7,31
Running,10/17/2024 10:38,TRUE,Hangzhou Running,15.02,957,1:04:05,157,174,4.1,176,187,4:16,3:00,28,17,1.35,7.1,9.6,233,4:11,373,0,371,511,"11,278",No,00:01.7,16,1:04:01,1:20:20,14,41
Running,10/16/2024 11:45,TRUE,Hangzhou Running,15.01,955,1:06:30,151,173,3.9,173,186,4:26,2:56,27,23,1.33,7.3,9.7,239,4:20,362,0,360,554,"11,538",No,00:01.8,16,1:06:20,1:22:28,9,32
Running,10/14/2024 20:08,TRUE,Running,5.46,336,0:24:20,144,153,2.9,173,184,4:27,3:51,18,25,1.3,7.5,9.7,243,4:27,355,0,350,525,"4,190",No,02:06.0,6,0:24:11,0:24:20,5,27
